CharacterName,Date,PickRate(%),ScreenTime,Act,OverallScreenTime
Vi,2021-11-01,2.6,0,before arcane,0
Vi,2021-11-03,4.1,0,before arcane,0
Vi,2021-11-06,4.9,56,1,56
Vi,2021-11-08,5.6,56,1,56
Vi,2021-11-11,7.9,56,1,56
Vi,2021-11-13,8.4,28,2,84
Vi,2021-11-16,18.3,28,2,84
Vi,2021-11-18,14.1,28,2,84
Vi,2021-11-20,14.1,43,3,127
Vi,2021-11-23,13.2,43,3,127
Vi,2021-11-25,12.2,43,3,127
Vi,2021-12-01,11.1,0,post arcane,127
Vi,2021-12-14,9.4,0,post arcane,127
Jinx,2021-11-01,10.4,0,before arcane,0
Jinx,2021-11-03,12.1,0,before arcane,0
Jinx,2021-11-06,12.6,43,1,43
Jinx,2021-11-08,13.9,43,1,43
Jinx,2021-11-11,15.3,43,1,43
Jinx,2021-11-13,16.6,25,2,68
Jinx,2021-11-16,17.5,25,2,68
Jinx,2021-11-18,18.3,25,2,68
Jinx,2021-11-20,20.3,24,3,92
Jinx,2021-11-23,20.3,24,3,92
Jinx,2021-11-25,30.2,24,3,92
Jinx,2021-12-01,24,0,post arcane,92
Jinx,2021-12-14,20.9,0,post arcane,92
Ekko,2021-11-01,12.3,0,before arcane,0
Ekko,2021-11-03,12.3,0,before arcane,0
Ekko,2021-11-06,12.3,4,1,4
Ekko,2021-11-08,12.3,4,1,4
Ekko,2021-11-11,8,4,1,4
Ekko,2021-11-13,8,0,2,4
Ekko,2021-11-16,7.2,0,2,4
Ekko,2021-11-18,6.8,0,2,4
Ekko,2021-11-20,7.2,26,3,30
Ekko,2021-11-23,7.4,26,3,30
Ekko,2021-11-25,7.3,26,3,30
Ekko,2021-12-01,7,0,post arcane,30
Ekko,2021-12-14,6.9,0,post arcane,30
Singed,2021-11-01,2.3,0,before arcane,0
Singed,2021-11-03,2.3,0,before arcane,0
Singed,2021-11-06,2.5,3,1,3
Singed,2021-11-08,2.6,3,1,3
Singed,2021-11-11,1.4,3,1,3
Singed,2021-11-13,1.5,2,2,5
Singed,2021-11-16,1.8,2,2,5
Singed,2021-11-18,2,2,2,5
Singed,2021-11-20,2,3,3,8
Singed,2021-11-23,2,3,3,8
Singed,2021-11-25,1.9,3,3,8
Singed,2021-12-01,1.8,0,post arcane,8
Singed,2021-12-14,1.6,0,post arcane,8
Jayce,2021-11-01,5.2,0,before arcane,0
Jayce,2021-11-03,6.3,0,before arcane,0
Jayce,2021-11-06,7.5,25,1,25
Jayce,2021-11-08,8.1,25,1,25
Jayce,2021-11-11,9.3,25,1,25
Jayce,2021-11-13,7.9,31,2,56
Jayce,2021-11-16,8,31,2,56
Jayce,2021-11-18,9,31,2,56
Jayce,2021-11-20,9.8,21,3,77
Jayce,2021-11-23,9.5,21,3,77
Jayce,2021-11-25,9,21,3,77
Jayce,2021-12-01,7.9,0,post arcane,77
Jayce,2021-12-14,7.5,0,post arcane,77
Heimerdinger,2021-11-01,1.7,0,before arcane,0
Heimerdinger,2021-11-03,1.7,0,before arcane,0
Heimerdinger,2021-11-06,1.9,12,1,12
Heimerdinger,2021-11-08,2,12,1,12
Heimerdinger,2021-11-11,1.2,12,1,12
Heimerdinger,2021-11-13,1.2,16,2,28
Heimerdinger,2021-11-16,1.3,16,2,28
Heimerdinger,2021-11-18,1.3,16,2,28
Heimerdinger,2021-11-20,1.3,4,3,32
Heimerdinger,2021-11-23,1.2,4,3,32
Heimerdinger,2021-11-25,1.2,4,3,32
Heimerdinger,2021-12-01,1.2,0,post arcane,32
Heimerdinger,2021-12-14,1.1,0,post arcane,32
Viktor,2021-11-01,3.6,0,before arcane,0
Viktor,2021-11-03,2.4,0,before arcane,0
Viktor,2021-11-06,4.5,11,1,11
Viktor,2021-11-08,4.8,11,1,11
Viktor,2021-11-11,3,11,1,11
Viktor,2021-11-13,3.4,25,2,36
Viktor,2021-11-16,3.7,25,2,36
Viktor,2021-11-18,4.6,25,2,36
Viktor,2021-11-20,6.7,17,3,53
Viktor,2021-11-23,9.8,17,3,53
Viktor,2021-11-25,10.5,17,3,53
Viktor,2021-12-01,9.9,0,post arcane,53
Viktor,2021-12-14,7.6,0,post arcane,53
Caitlyn,2021-11-01,12,0,before arcane,0
Caitlyn,2021-11-03,17.3,0,before arcane,0
Caitlyn,2021-11-06,14.3,2,1,2
Caitlyn,2021-11-08,15,2,1,2
Caitlyn,2021-11-11,17.2,2,1,2
Caitlyn,2021-11-13,18.4,34,2,36
Caitlyn,2021-11-16,20.1,34,2,36
Caitlyn,2021-11-18,26.6,34,2,36
Caitlyn,2021-11-20,26.3,27,3,63
Caitlyn,2021-11-23,34.6,27,3,63
Caitlyn,2021-11-25,28.8,27,3,63
Caitlyn,2021-12-01,25.4,0,post arcane,63
Caitlyn,2021-12-14,23,0,post arcane,63
